#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
64,-97.43081665039062,337.7993614667317,0.020780882334166598
65,-95.01486206054688,320.0916773324738,0.020780882334166598
66,-94.6063232421875,334.30168102309983,0.020780882334166598
67,-95.87728881835938,338.5075819832707,0.020780882334166598
68,-99.09866333007812,363.55836592284606,0.020780882334166598
69,-104.06643676757812,390.687356563131,0.020780882334166598
70,-109.25567626953125,433.2470414911505,0.020780882334166598
71,-113.90377807617188,470.79136461078053,0.020780882334166598
72,-119.68905639648438,496.0194904731737,0.020780882334166598
73,-128.69522094726562,551.1251086938028,0.020780882334166598
74,-136.27999877929688,587.3950976043541,0.020780882334166598
75,-139.34793090820312,615.6084273391552,0.020780882334166598
76,-138.41168212890625,615.4843902548963,0.020780882334166598
77,-138.0931396484375,620.0896076099418,0.020780882334166598
78,-141.9515380859375,634.2758233427134,0.020780882334166598
79,-148.94882202148438,685.1133922963911,0.020780882334166598
80,-153.09130859375,703.98990740122,0.020780882334166598
81,-150.64068603515625,686.6488186017608,0.020780882334166598
82,-145.5611572265625,648.9616802564818,0.020780882334166598
83,-147.76513671875,647.9422806439013,0.020780882334166598
84,-155.42462158203125,691.6170018774931,0.020780882334166598
85,-156.50216674804688,695.8962678671758,0.020780882334166598
86,-145.79074096679688,622.4359539982713,0.020780882334166598
87,-130.23947143554688,546.4690995459672,0.020780882334166598
88,-121.84518432617188,485.1055151263424,0.020780882334166598
89,-125.2772216796875,505.021963937244,0.020780882334166598
90,-130.5385284423828,546.4909385637353,0.020780882334166598
91,-128.16241455078125,529.1665798135676,0.020780882334166598
92,-121.01953125,487.70379761046524,0.020780882334166598
93,-120.41421508789062,493.99016731285184,0.020780882334166598
94,-131.15135192871094,552.2715066790687,0.020780882334166598
95,-138.8251953125,600.8221162136774,0.020780882334166598
96,-134.24351501464844,570.0000435664666,0.020780882334166598
97,-122.22380065917969,498.7606252983481,0.020780882334166598
98,-113.69522094726562,443.28671165161836,0.020780882334166598
99,-114.31539916992188,435.4046364518064,0.020780882334166598
100,-118.95210266113281,451.76652521626227,0.020780882334166598
101,-118.46270751953125,440.314416479926,0.020780882334166598
102,-110.55589294433594,394.18193832474464,0.020780882334166598
103,-102.9703369140625,360.09650195176226,0.020780882334166598
104,-104.42190551757812,379.2160870274197,0.020780882334166598
105,-112.86569213867188,412.8698865980493,0.020780882334166598
106,-117.66436767578125,441.2524016343112,0.020780882334166598
107,-113.73091125488281,416.2570622211212,0.020780882334166598
108,-106.220703125,368.3859532923667,0.020780882334166598
109,-103.75735473632812,348.0931111284142,0.020780882334166598
110,-108.48777770996094,389.7814069055572,0.020780882334166598
111,-116.39364624023438,417.34346563437197,0.020780882334166598
112,-122.5291748046875,461.5230452757407,0.020780882334166598
113,-125.44544982910156,472.6161933095499,0.020780882334166598
